콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0010CZS100,12180,S,1012,9,3,10,100,54,영천JC-건천IC,0,101
0010CZS105,5550,S,116,1012,2,10,100,53,영천IC-영천JC,0,101
0010CZS110,16450,S,115,116,3,10,100,52,경산IC-영천IC,0,101
0010CZS120,9260,S,10,115,4,10,100,51,동대구JC-경산IC,0,101
0010CZS130,4090,S,18,10,4,10,100,50,도동JC-동대구JC,0,101
0010CZS140,7680,S,12,18,4,10,100,49,북대구IC-도동JC,0,101
0010CZS150,5480,S,13,12,4,10,100,48,금호JC-북대구IC,0,101
0010CZS160,4050,S,1051,13,4,10,100,47,칠곡JC-금호JC,0,101
0010CZS165,6690,S,464,1051,4,10,100,46,칠곡물류IC-칠곡JC,0,101
0010CZS170,3180,S,117,464,4,10,100,45,왜관IC-칠곡물류IC,0,101
0010CZS180,13980,S,120,117,4,10,100,44,남구미IC-왜관IC,0,101
0010CZS190,5070,S,122,120,4,10,100,43,구미IC-남구미IC,0,101
0010CZS200,6960,S,1045,122,4,10,100,42,북구미하이패스IC-구미IC,0,101
0010CZS205,3900,S,80,1045,4,10,100,41,김천JC-북구미하이패스IC,0,101
